Uf,CityIbgeCode,City,Neighborhood,NormalizedName,Latitude,Longitude,Source,IsActive
AL,2700102,Água Branca,Centro,centro,-9.26320267,-37.93622971,brasil_aberto_first_street,True
AL,2700201,Anadia,Centro,centro,-9.683845,-36.3041835,brasil_aberto_first_street,True
AL,2700300,Arapiraca,Alazão,alazao,-9.7883658,-36.6344773,brasil_aberto_first_street,True
AL,2700300,Arapiraca,Alto do Cruzeiro,alto do cruzeiro,-9.7493115,-36.6501539,brasil_aberto_first_street,True
AL,2700300,Arapiraca,Área Rural de Arapiraca,area rural de arapiraca,-9.7555596,-36.6639697,brasil_aberto_first_street,True
AL,2700300,Arapiraca,Baixa da Onça,baixa da onca,,,dne,True
AL,2700300,Arapiraca,Baixa do Capim,baixa do capim,,,dne,True
AL,2700300,Arapiraca,Baixa Grande,baixa grande,-9.7298318,-36.675692,brasil_aberto_first_street,True
AL,2700300,Arapiraca,Baixão,baixao,-9.7484613,-36.6725095,brasil_aberto_first_street,True
AL,2700300,Arapiraca,Bálsamo,balsamo,,,dne,True
AL,2700300,Arapiraca,Bananeiras,bananeiras,,,dne,True
AL,2700300,Arapiraca,Batingas,batingas,-9.7593953,-36.6571414,brasil_aberto_first_street,True
AL,2700300,Arapiraca,Boa Vista,boa vista,-9.7805158,-36.635061,brasil_aberto_first_street,True
AL,2700300,Arapiraca,Bom Jardim,bom jardim,,,dne,True
AL,2700300,Arapiraca,Bom Sucesso,bom sucesso,-9.7208182,-36.6715739,brasil_aberto_first_street,True
AL,2700300,Arapiraca,Brasília,brasilia,-9.75374794,-36.64778519,brasil_aberto_first_street,True
AL,2700300,Arapiraca,Brasiliana,brasiliana,-9.735189199999999,-36.6642592,brasil_aberto_first_street,True
AL,2700300,Arapiraca,Cacimbas,cacimbas,-9.7566255,-36.6651398,brasil_aberto_first_street,True
AL,2700300,Arapiraca,Caititus,caititus,-9.7387641,-36.6552856,brasil_aberto_first_street,True
AL,2700300,Arapiraca,Cajarana,cajarana,,,dne,True
AL,2700300,Arapiraca,Canaã,canaa,,,dne,True
AL,2700300,Arapiraca,Canafístula,canafistula,-9.7681419,-36.637916,brasil_aberto_first_street,True
AL,2700300,Arapiraca,Cangandu,cangandu,,,dne,True
AL,2700300,Arapiraca,Capiatã,capiata,-9.7399544,-36.6623168,brasil_aberto_first_street,True
AL,2700300,Arapiraca,Carrasco,carrasco,,,dne,True
AL,2700300,Arapiraca,Cavaco,cavaco,-9.7430716,-36.676839,brasil_aberto_first_street,True
AL,2700300,Arapiraca,Centro,centro,-9.7514332,-36.6650689,brasil_aberto_first_street,True
AL,2700300,Arapiraca,Centro (Baixa da Onça),centro baixa da onca,,,dne,True
AL,2700300,Arapiraca,Deputado Nezinho,deputado nezinho,-9.7555596,-36.6639697,brasil_aberto_first_street,True
AL,2700300,Arapiraca,Eldorado,eldorado,-9.7458804,-36.6695243,brasil_aberto_first_street,True
AL,2700300,Arapiraca,Flexeiras,flexeiras,,,dne,True
AL,2700300,Arapiraca,Guaribas,guaribas,-9.7794179,-36.6537671,brasil_aberto_first_street,True
